MSL Code,MSL Description,UOM,Outer Qty,Outer Desc,Unit Size
BNM12100G,M12 x 100 Eng Bolt/Nut Galv (25)  Barcode,Each,25,,
BNM12110G,M12 x 110 Eng Bolt/Nut Galv (25)  Barcode,Each,25,,
BNM12120G,M12 x 120 Eng Bolt/Nut Galv (25)  Barcode,Each,25,,
BNM12130G,M12 x 130 Eng Bolt/Nut Galv (25)  Barcode,Each,25,,
BNM12140G,M12 x 140 Eng Bolt/Nut Galv (25)  Barcode,Each,25,,
BNM12150G,M12 x 150 Eng Bolt/Nut Galv (25)  Barcode,Each,25,,
BNM12160G,M12 x 160 Eng Bolt/Nut Galv (10)  Barcode,Each,10,,
BNM12180G,M12 x 180 Eng Bolt/Nut Galv (10)  Barcode,Each,10,,
BNM12200G,M12 x 200 Eng Bolt/Nut Galv (10)  Barcode,Each,10,,
BNM12220G,M12 x 220 Eng Bolt/Nut Galv (10)  Barcode,Each,10,,
BNM12240G,M12 x 240 Eng Bolt/Nut Galv (10)  Barcode,Each,10,,
BNM12260G,M12 x 260 Eng Bolt/Nut Galv (10)  Barcode,Each,10,,
BNM12280G,M12 x 280 Eng Bolt/Nut Galv (10)  Barcode,Each,10,,
BNM12300G,M12 x 300 Eng Bolt/Nut Galv (10)  Barcode,Each,10,,
BNM1265G,M12 x 65 Eng Bolt/Nut Galv (25)  Barcode,Each,25,,
BNM1275G,M12 x 75 Eng Bolt/Nut Galv (25)  Barcode,Each,25,,
BNM1290G,M12 x 90 Eng Bolt/Nut Galv (25) Barcode,Each,25,,
BNM16120G,M16 x 120 Eng Bolt/Nut Galv (15),Each,15,,
BNM16150G,M16 x 150 Eng Bolt/Nut Galv (15),Each,15,,
BNM16180G,M16 x 180 Eng Bolt/Nut Galv (10),Each,10,,
BNM16200G,M16 x 200 Eng Bolt/Nut Galv (10),Each,10,,
BNM16220G,M16 x 220 Eng Bolt/Nut Galv (10),Each,10,,
BNM16240G,M16 x 240 Eng Bolt/ Nut Galv (10),Each,10,,
BNM16260G,M16 x 260 Eng Bolt/Nut Galv (10),Each,10,,
BNM16300G,M16 x 300 Eng Bolt/Nut Galv (10),Each,10,,
BNM16350G,M16 x 350 Eng Bolt/Nut Galv (5),Each,5,,
CBNM10100G,M10 x 100 Coach Bolt/Nut Galv (50) Barcode,Each,50,,
CBNM10110G,M10 x 110 Coach Bolt/Nut Galv (50)  Barcode,Each,50,,
CBNM10120G,M10 x 120 Coach Bolt/Nut Galv (50)  Barcode,Each,50,,
CBNM10130G,M10 x 130 Coach Bolt/Nut Galv (50) Barcode,Each,50,,
CBNM10140G,M10 x 140 Coach Bolt/Nut Galv (50) Barcode,Each,50,,
CBNM10150G,M10 x 150 Coach Bolt/Nut Galv (50) Barcode,Each,50,,
CBNM10160G,M10 x 160 Coach Bolt/Nut Galv (10) Barcode,Each,10,,
CBNM10180G,M10 x 180 Coach Bolt/Nut Galv (10) Barcode,Each,10,,
CBNM10200G,M10 x 200 Coach Bolt/Nut Galv (10) Barcode,Each,10,,
CBNM10220G,M10 x 220 Coach Bolt/Nut Galv (10) Barcode,Each,10,,
CBNM10240G,M10 x 240 Coach Bolt/Nut Galv (10) Barcode,Each,10,,
CBNM10260G,M10 x 260 Coach Bolt/Nut Galv (10) Barcode,Each,10,,
CBNM1050G,M10 x 50 Coach Bolt/Nut Galv (75) Barcode,Each,75,,
CBNM1065G,M10 x 65 Coach Bolt/Nut Galv (50) Barcode,Each,50,,
CBNM1075G,M10 x 75 Coach Bolt/Nut Galv (50) Barcode,Each,50,,
CBNM1090G,M10 x 90 Coach Bolt/Nut Galv (50) Barcode,Each,50,,
CBNM12100G,M12 x 100 Coach Bolt/Nut Galv (25) Barcode,Each,25,,
CBNM12110G,M12 x 110 Coach Bolt/Nut Galv (25)  Barcode,Each,25,,
CBNM12120G,M12 x 120 Coach Bolt/Nut Galv (25)  Barcode,Each,25,,
CBNM12130G,M12 x 130 Coach Bolt/Nut Galv (25)  Barcode,Each,25,,
CBNM12140G,M12 x 140 Coach Bolt/Nut Galv (25)  Barcode,Each,25,,
CBNM12150G,M12 x 150 Coach Bolt/Nut Galv (25)  Barcode,Each,25,,
CBNM12160G,M12 x 160 Coach Bolt/Nut Galv (10)  Barcode,Each,10,,
CBNM12170G,M12 x 170 Coach Bolt/Nut Galv (10)  Barcode,Each,10,,
CBNM12180G,M12 x 180 Coach Bolt/Nut Galv (10)  Barcode,Each,10,,
CBNM12200G,M12 x 200 Coach Bolt/Nut Galv (10)  Barcode,Each,10,,
CBNM12220G,M12 x 220 Coach Bolt/Nut Galv (10)  Barcode,Each,10,,
CBNM12240G,M12 x 240 Coach Bolt/Nut Galv (10)  Barcode,Each,10,,
CBNM12260G,M12 x 260 Coach Bolt/Nut Galv (10)  Barcode,Each,10,,
CBNM12280G,M12 x 280 Coach Bolt/Nut Galv (10)  Barcode,Each,10,,
CBNM12300G,M12 x 300 Coach Bolt/Nut Galv (10)  Barcode,Each,10,,
CBNM1265G,M12 x 65 Coach Bolt/Nut Galv (25)  Barcode,Each,25,,
CBNM1275G,M12 x 75 Coach Bolt/Nut Galv (25)  Barcode,Each,25,,
CBNM1290G,M12 x 90 Coach Bolt/Nut Galv (25) Barcode,Each,25,,
CBNM16100G,M16 x 100 Coach Bolt/Nut Galv (10),Each,10,,
