Branch#,Branch Name,Group,Code,Description,Long Description 1,Last Supplier,Outer Qty,Outer Desc,Jul2018 Qty Start,Free Stock,Ytd Qty Sold,Min Qty,Max Qty,Unit
"0","All","02","100.100.6MI","100MM PVC PIPE DWV 6M","","PFGLOBAL","0","","4","4","9","6","12","EA"
"0","All","02","704.150.45","Storm 150mm x 45 F&F Y Junc","","PFGLOBAL","0","","2","2","4","0","0","EA"
"0","All","02","704.150.88","Storm 150mm x 885 F&F Tee Junc","","PFGLOBAL","0","","2","2","1","0","0","EA"
"0","All","02","724.150.100","Storm 150mm - 100mm Socket Reducer","","PFGLOBAL","0","","2","2","2","0","0",""
"0","All","02","ABBMS25440","BLADE MITRE SAW 254mm 40T T14070ANZ","","BUNLTD","0","","0","0","0","0","0",""
"0","All","02","ABDDSHG5","DUSTBUDDIE DUST SHROUD HAND GRINDER 5"","DUSTBUDDIE DUST SHROUD FOR HAND GRINDER 5"","HUATOO","0","","0","0","0","0","0",""
"0","All","02","ABDRGW12582022","DBL ROW GRINDING WHEEL 125 X8X 20TX22.23","DOUBLE ROW GRINDING WHEEL 125 X 8 X 20T X 22.23","HUATOO","0","","0","0","0","0","0",""
"0","All","02","ABFR155T80","FLEXOVIT ROLL 115mm X 5m TIMBER P80","","BUNLTD","0","","0","0","0","0","0",""
"0","All","02","ABGDG18063","GRINDING DUST GUARD 180 X 63","","HUATOO","0","","0","0","0","0","0",""
"0","All","02","ABLTCGW18022","L TURBO CUP GRINDING WHEEL 180X8X22.23","L TURBO CUP GRINDING WHEEL 180 X 8 X 22.23","HUATOO","0","","0","0","0","0","0",""
"0","All","02","ABMA10016","MASONRY CUT OFF WHEEL 100 X 2.5 X 16.0","","AKATIM","0","","0","0","0","0","0",""
"0","All","02","ABMA1003216","MASONRY CUT OFF WHEEL 100 X 3.2 X 16.0","","ALLTOO","0","","25","23","0","0","0",""
"0","All","02","ABMA1006416","MASONRY GRINDING WHEEL 100 X 6.4 X 16","","ALLTOO","0","","25","25","0","0","0",""
"0","All","02","ABMA1006422","MASONRY GRINDING WHEEL 100 X 6.4 X 22.2","","ALLTOO","0","","0","0","0","0","0",""
"0","All","02","ABMA11522","MASONRY CUT OFF WHEEL 115 X 2.5 X 22.2","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABMA12522","MASONRY CUT OFF WHEEL 125 X 2.5 X 22.2","","SGABRA","0","","0","0","0","0","0",""
"0","All","02","ABMA1253222","MASONRY CUT OFF WHEEL 125 X 3.2 X 22.2","","ALLTOO","0","","25","25","0","0","0",""
"0","All","02","ABMA1256422","MASONRY GRINDING WHEEL 125 X 6.4 X 22.2","","ALLTOO","0","","25","25","0","0","0",""
"0","All","02","ABMA180230","MASONRY CUT OFF WHEEL 180 X 2.5 X 22.2","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABMA23022","MASONRY CUT OFF WHEEL 230 X 2.5 X 22.2","","SAIGOB","0","","0","0","0","0","0",""
